otu_id	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
OTU_4222	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	305	0	0	16	0	0	0	0	0	0	0	0	0	41	0	0	0	0	404	0	110	0	0	0	0	0	0	0	0	0	96	0	24	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	29	0
OTU_1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0	0	0	0	0
OTU_1346	0	0	12	0	0	0	0	2808	0	0	0	0	0	0	0	0	616	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	159	0	0	0	16	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	12	0
OTU_371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	37	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
OTU_3385	0	0	0	711	0	0	70	0	0	0	0	21	218	96	0	0	0	0	0	61	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	280	35	0	0	69	0	34	137	0	0	1953	0	20	0	0	244	0	45	0	0
OTU_3531	0	0	0	31	0	0	79	79	9	87	61	81	20	104	18	11	245	34	19	85	17	0	463	0	14	10	0	557	0	0	10	0	0	11	0	0	13	0	16	103	0	0	0	73	32	0	0	25	0	0	0	284	23	0	0	14	47	0	8	0	22	0	9	0	92	0	0	0	0
OTU_192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3039	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	1104	0	0	0	0
OTU_3472	0	0	0	31	0	0	54	0	254	13	0	50	25	108	0	0	0	0	0	0	436	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	55	0	0	0	0	0	0	0	2844	0	0	0	0	32
OTU_3279	0	0	1210	0	145	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	98	0	44	0	0	10	44	0	0	0	402	0	0	0	218	0	0	0	0	37	0	0	20	245	0	12	0	37	0	8	0	0	0	0	9	0
OTU_1238	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1093	0	0	0	0	0	0	0	0	198	0	0	0	23	0	0	0	0
OTU_4036	79	0	431	0	0	326	0	20	0	92	42	213	0	55	0	0	0	0	0	125	0	86	63	0	0	0	0	0	0	40	0	0	0	0	0	155	33	0	0	637	0	17	0	131	99	0	0	116	0	0	15	79	197	0	13	0	0	0	0	0	57	0	0	0	262	0	0	0	0
OTU_402	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	48	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	23	0	0	0	0	0	14	0
OTU_1747	0	0	0	419	0	0	72	0	0	0	0	20	403	108	28	13	165	0	210	239	0	0	149	67	42	0	0	1237	39	0	0	0	0	0	0	9	0	0	0	16	0	0	0	58	12	0	0	0	55	0	13	153	0	0	64	0	0	0	136	0	210	0	11	18	20	0	0	118	0
OTU_1598	0	0	0	0	0	11	0	30	0	0	418	0	0	12	0	0	0	117	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	229	0	0	0	105	9	0	0	0	11	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	74	24	0	0	25	0	0	0	0	0	0	10	0	1932	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	17	0	1252
OTU_1663	0	0	0	0	0	0	0	0	0	11	0	154	990	0	0	0	0	0	375	0	0	0	729	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1722	0	0	0	0	0	0	0	0	0	0	0	9
OTU_139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	31	0	0	45	0	0	0	0	0	226	3130	0	0	0	0	0	0	143	0	0	0	0	0	0	0	145	0	0	0	0
OTU_3725	13	0	25	104	0	0	40	304	0	47	34	203	18	299	0	189	111	43	17	46	12	87	49	0	14	0	0	41	0	9	0	811	0	0	0	33	31	0	8	17	0	53	0	11	43	0	0	0	666	0	0	53	8	0	0	0	16	0	0	0	21	0	0	0	44	0	0	0	11
OTU_882	0	0	0	0	0	0	0	0	0	0	1086	0	0	455	0	16	0	0	65	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	116	0	0	0	0
