otu_id	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
OTU_1844	11	0	0	164	54	268	25	0	0	575	0	923	0	0	0	768	0	53	0	0	0	14	70	42	0	0	0	37	0	0	0	0	0	10	232	207	0	61	0	557	28	45	0	0	0	122	0	30	0	0	0	146	0	65	0	0	0	26	0	88	0	0	0	464	43	271	0	0	0	383	23	74
OTU_3759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	0	0	0	0	0	0	0	0	0	0	0	4812	0
OTU_1487	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	323	0	120	0	0	0	113	0	0	0	0	0	28	0	0	0	0	0	0	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
OTU_4094	456	0	0	0	0	0	0	0	47	0	43	0	45	31	47	0	17	73	115	0	62	54	0	11	53	10	69	19	0	674	0	179	457	27	0	0	27	0	591	12	0	214	0	61	50	30	0	12	0	1655	0	0	34	43	84	64	0	0	15	0	0	25	68	0	0	0	134	42	62	0	0	0
OTU_1347	11	0	0	174	0	103	0	0	0	0	0	358	0	1149	0	0	0	0	0	517	19	0	0	0	510	0	0	0	0	0	131	0	0	0	0	27	90	17	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	178	0	0	0	0	0	109	0	0	0	21
OTU_3655	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	498	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	20	0	0	0	0	0	0	0	0	0	0	24	9	203	0	0	0	0	0	55	0	0	0	0	0	0
OTU_714	36	0	0	82	0	973	19	0	0	669	0	223	19	0	0	309	0	126	0	0	0	339	0	23	0	0	0	182	0	0	0	0	0	0	0	351	0	0	0	496	0	336	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	346	11	228	0	0	0	32	0	224
OTU_4360	0	0	0	38	0	17	0	0	0	14	0	36	0	0	0	29	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	26	0	0	0	0	0	24	0	0	0	31	0	27	0	0	0	13	0	0
OTU_4187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4043	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3575	30	186	22	157	0	157	0	228	0	520	0	415	0	249	0	213	0	35	0	0	0	0	83	101	0	16	31	0	31	0	0	0	18	0	436	22	0	114	0	228	0	0	0	27	0	50	0	40	0	0	0	0	0	258	0	0	0	0	0	233	0	0	0	113	0	110	0	0	0	610	0	515
OTU_416	181	0	0	0	0	0	45	0	0	0	0	0	82	93	0	0	0	0	239	0	0	0	345	214	0	0	0	0	0	568	697	0	140	0	0	0	63	20	60	0	0	0	0	0	885	0	0	128	0	0	380	0	0	0	16	101	125	0	0	82	0	632	0	0	0	0	0	27	118	0	0	0
OTU_2740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	2707	0	0	0	0	0	0	0	0	0	0	0	250	1203	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	59	0	0	0	0	0	88	0	123	0	0	0	235	0	0	0	0	0	0	0	117	0	0	0
OTU_3668	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	17	1007	761	0	0	0	24	556	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	66	0	0	0	0	791	0	0	0	0	0	351	0	0	0	0	0	193	0	0	0	483	11	180	0	0	0	0	0	0	461	0
OTU_3731	107	0	184	0	0	0	0	0	1180	0	0	0	0	0	58	0	29	0	0	0	37	0	0	0	13	47	0	0	37	26	34	124	0	0	0	0	796	0	0	0	0	0	31	41	0	0	107	0	534	138	14	0	303	0	144	0	45	0	321	31	9	11	0	0	0	0	406	20	10	0	0	0
