otu_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_13891	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus	""
OTU_13892	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2	""
OTU_13893	Bacteria	Chloroflexi	TK10	""	""	""	""
OTU_13894	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2	""
OTU_13895	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	""	""
OTU_13896	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	""	""
OTU_13897	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	""	""
OTU_13899	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	""	""	""
OTU_13900	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	""	""
OTU_13902	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	""
OTU_13903	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	""	""	""
OTU_13904	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	""	""
OTU_13905	Bacteria	Chloroflexi	TK10	""	""	""	""
OTU_13906	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	""
OTU_13907	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	""
OTU_13909	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13910	Bacteria	Elusimicrobiota	Lineage IIa	""	""	""	""
OTU_13911	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13913	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13914	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	""
OTU_13915	Bacteria	RCP2-54	""	""	""	""	""
