sample_id	regime	block	plot	quadrat	litter_type	community	richness_fungi	shannon_fungi	evenness_fungi	pco1_57_leaf_fungi	pco2_38_leaf_fungi	pco1_54_soil_fungi	pco2_39_soil_fungi
S28	L2	B	B3	4	Grass	Leaf	78	2.97681862983609	0.683272338881092	0.114085331869089	-0.0929893253820027		
S3	E2	B	B5	1	Leaf	Leaf	79	3.69153956041957	0.844852641583833	-0.0375677933784797	0.103159999732358		
S33	E2	C	C6	1	Grass	Leaf	136	3.89587668702047	0.793028775201001	0.143056809743023	0.0357065286696436		
S34	L2	C	C2	1	Leaf	Leaf	73	3.45545872544528	0.805381981310698	-0.113561451513626	-0.0529892983751456		
S35	U	B	B6	1	Grass	Leaf	115	3.61594821869606	0.762065319560929	0.109397182827785	0.00160995918905892		
S36	L2	B	B3	1	Leaf	Leaf	151	3.81150117226557	0.759674823058144	-0.116585878415058	0.163716217074328		
S4	L2	B	B3	1	Grass	Leaf	134	2.91360203351384	0.594874914762022	0.087354968929016	-0.160012293667002		
S41	E2	C	C6	2	Grass	Leaf	176	4.21162211882153	0.814550847244322	0.101358295179712	0.15317823530731		
S42	L2	C	C2	2	Leaf	Leaf	89	2.890407461303	0.643938876580348	-0.0861420652959445	-0.0135677687405257		
S44	L2	B	B3	2	Leaf	Leaf	106	3.64856534838319	0.782376541164603	-0.0415918921625112	0.140018406766395		
S49	E2	C	C6	3	Grass	Leaf	141	4.04709480291077	0.817799790767684	0.0606563670051991	0.256177748674795		
S50	L2	C	C2	3	Leaf	Leaf	85	3.61653278102753	0.814048317599564	-0.0689858602819456	-0.0971864448095112		
S51	U	B	B6	3	Grass	Leaf	81	2.06899519235036	0.47082014594491	0.101929328212879	0.106898569003294		
S52	L2	B	B3	3	Leaf	Leaf	64	3.43259518161713	0.825364674316398	-0.0867283631323212	0.0525520532423996		
S57	E2	C	C6	4	Grass	Leaf	168	4.17883978511778	0.815548236075706	0.0850256706036418	0.221390039334289		
S58	L2	C	C2	4	Leaf	Leaf	93	3.16417268471752	0.698092273428786	-0.0548385767296868	-0.201727754563948		
S59	U	B	B6	4	Grass	Leaf	142	3.79751235119801	0.766272169520802	0.17067736834479	-0.00656143515964657		
S60	L2	B	B3	4	Leaf	Leaf	86	3.49023984291739	0.783558086243744	-0.114084806777208	0.149618660221083		
S65	E2	C	C6	1	Leaf	Leaf	78	3.48308817885646	0.799476925682695	-0.149206981181223	0.0823846203284658		
S66	U	C	C5	1	Grass	Leaf	121	3.83259660157673	0.799158463059991	0.168134926747899	-0.159381753728919		
S67	U	B	B6	1	Leaf	Leaf	116	3.33413374429972	0.701392760052739	-0.0575730894094806	-0.176982883508393		
S68	E2	B	B5	1	Grass	Leaf	84	3.24093108196409	0.731452287264539	0.11560962701462	0.103456530505134		
S73	E2	C	C6	2	Leaf	Leaf	103	3.43516947832995	0.741180225867341	-0.213258822344903	-0.0816178986989345		
