Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Taphrinomycetes	0.987	0.7909	50	All	0.988	0.8276	50	102	42	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Blastocladiomycetes	0.911	0.7506	50	All	0.988	0.8276	50	34	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Atractiellomycetes	0.981	0.9303	50	Atractiellomycetes	0.981	0.9303	50	58	34	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Spizellomycetes	0.761	0.8555	50	Spizellomycetes	0.761	0.8555	50	63	21	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Neocallimastigomycetes	0.981	0.872	50	Neocallimastigomycetes	0.981	0.872	50	58	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Chytridiomycetes	0.928	0.8733	50	Chytridiomycetes	0.928	0.8733	50	95	34	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Rhizophydiomycetes	0.935	0.9167	50	Rhizophydiomycetes	0.935	0.9167	50	58	31	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Archaeosporomycetes	0.97	0.8789	50	Archaeosporomycetes	0.97	0.8789	50	92	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Basidiomycota	0.987	0.7977	50	All	0.988	0.8276	50	17921	7614	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Ascomycota	0.988	0.8151	50	All	0.988	0.8276	50	13423	6835	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Mucoromycota	0.964	0.8723	50	Mucoromycota	0.964	0.8723	50	2162	217	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Glomeromycota	0.967	0.7643	50	All	0.988	0.8276	50	1789	180	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Kickxellomycota	0.956	0.9712	50	Kickxellomycota	0.956	0.9712	50	37	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Mortierellomycota	0.971	0.8328	50	Mortierellomycota	0.971	0.8328	50	425	55	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Blastocladiomycota	0.911	0.7826	50	All	0.988	0.8276	50	39	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Chytridiomycota	0.86	0.8376	50	Chytridiomycota	0.86	0.8376	50	295	116	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Neocallimastigomycota	0.981	0.872	50	Neocallimastigomycota	0.981	0.872	50	58	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	All	0.988	0.8276	50	All	0.988	0.8276	50	16671	9514	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
genus	Nectriaceae	0.952	0.9455	50	Nectriaceae	0.952	0.9455	50	5587	36	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Aspergillaceae	0.7	0.9566	50	Aspergillaceae	0.7	0.9566	50	5094	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pleosporaceae	0.966	0.9461	50	Pleosporaceae	0.966	0.9461	50	4143	12	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Cordycipitaceae	0.974	0.897	50	Hypocreales	0.965	0.9192	50	1126	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Bionectriaceae	0.949	0.6358	50	Hypocreales	0.965	0.9192	50	2102	29	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Ramalinaceae	0.956	0.6692	50	Ramalinaceae	0.956	0.6692	50	953	31	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Peniophoraceae	0.919	0.7732	50	Russulales	0.944	0.8796	50	778	10	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Dothideomycetes_fam_Incertae_sedis	0.889	0.8568	50	Dothideomycetes_fam_Incertae_sedis	0.889	0.8568	50	510	38	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
